County,Year,pdsi,1_priv_0_pub,med_income,"irrig, crop surface (thousand acres)","irrig, crop tot (thousands acre)",avg_rainfall
Glenn,2012,-1.22,1,41201,NA,NA,2.410833333333333
Glenn,2013,-3.42,1,42129,NA,NA,0.6325000000000001
Glenn,2014,-3.84,1,43755,NA,NA,2.64
Glenn,2015,-3.86,1,43584,69.68,234.24,1.03
Glenn,2016,0.35,1,46141,NA,NA,2.4675
Humboldt,2008,-3.94,0,39627,NA,NA,4.265
Humboldt,2009,-2.54,0,35985,NA,NA,3.638333333333333
Humboldt,2010,3.93,0,38254,2.28,26.54,6.781666666666666
Humboldt,2011,2.45,0,39526,NA,NA,4.264166666666666
Humboldt,2012,1.6,0,39837,NA,NA,6.208333333333334
Humboldt,2013,-0.25,0,40882,NA,NA,1.775
Humboldt,2014,0.89,0,40581,NA,NA,4.549166666666666
Humboldt,2015,-4.26,0,40739,3.81,45.25,4.2124999999999995
Humboldt,2016,2.95,0,43164,NA,NA,6.655
Imperial,2008,-1.1,1,36894,NA,NA,0.28
Imperial,2009,-2.95,1,37846,NA,NA,0.10416666666666666
Imperial,2010,1.21,1,39261,541.14,557.88,0.5308333333333334
Imperial,2011,-0.98,1,36898,NA,NA,0.21083333333333334
Imperial,2012,-1.37,1,38185,NA,NA,0.20666666666666667
Imperial,2013,0.54,1,40106,NA,NA,0.3
Imperial,2014,-2.85,1,38737,NA,NA,0.17166666666666666
Imperial,2015,-2.24,1,39925,466.44,508.18,0.18416666666666667
Imperial,2016,-3.02,1,43327,NA,NA,0.255
Inyo,2008,-2.87,1,47197,NA,NA,0.44833333333333336
Inyo,2009,-3.2,1,44090,NA,NA,0.3566666666666667
Inyo,2010,0.01,1,44507,22.16,22.16,0.8150000000000001
Inyo,2011,-0.31,1,44928,NA,NA,0.32666666666666666
Inyo,2012,-2.94,1,45748,NA,NA,0.3383333333333333
Inyo,2013,-2.67,1,45784,NA,NA,0.29333333333333333
Inyo,2014,-4.57,1,49267,NA,NA,0.39
Inyo,2015,-2.79,1,51697,17.49,17.49,0.43083333333333335
Inyo,2016,-3.23,1,53350,NA,NA,0.4091666666666667
Kern,2008,-2.13,1,44716,NA,NA,0.5983333333333333
Kern,2009,-3.02,1,46938,NA,NA,0.49333333333333335
Kern,2010,1.7,1,45045,339.36,734.53,1.1541666666666666
Kern,2011,4.13,1,44903,NA,NA,0.5591666666666667
Kern,2012,-3.53,1,45599,NA,NA,0.4841666666666667
Kern,2013,-4.35,1,46688,NA,NA,0.3
Kern,2014,-5.46,1,47451,NA,NA,0.5141666666666667
